,name,university,type,location,duration,link
0,Filosofie,Vrije Universiteit Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/filosofie-1225
1,"Placemaking: Sense, Space & Strategy",University of Amsterdam,Short or summer course,Amsterdam,19 days,https://www.studyinnl.org//dutch-education/studies/placemaking-sense-space-strategy-9720
2,Social Sciences for a Digital Society (research),Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/social-sciences-for-a-digital-society-research-1329
3,Finance: Climate and Sustainable Finance,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/finance-climate-and-sustainable-finance-57575
4,International and European Law: International Trade and Investment Law,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/international-and-european-law-international-trade-and-investment-law-6639
5,Digital Economic Geography (Human Geography),University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/digital-economic-geography-human-geography-6800
6,Law and Finance,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/law-and-finance-1193
7,History and International Studies,Vrije Universiteit Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/history-and-international-studies-6913
8,Physics and Astronomy: Advanced Matter and Energy Physics,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/physics-and-astronomy-advanced-matter-and-energy-physics-9819
9,Artificial Intelligence,Vrije Universiteit Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/artificial-intelligence-1242
10,Business Administration,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/business-administration-1272
11,Tourism Management,Inholland University of Applied Sciences,Bachelor,Amsterdam,4 years,https://www.studyinnl.org//dutch-education/studies/tourism-management-2369
12,Arts and Culture: Comparative Cultural Analysis,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/arts-and-culture-comparative-cultural-analysis-9978
13,"Science, Business and Innovation",Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/science-business-and-innovation-1327
14,"Human Movement Sciences: Sport, Exercise and Health (research)",Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/human-movement-sciences-sport-exercise-and-health-research-1282
15,Neurobiology: Psychopharmacology and Pathophysiology,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/neurobiology-psychopharmacology-and-pathophysiology-9801
16,Computer Science (joint degree),Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/computer-science-joint-degree-1295
17,Economics of Blockchain and Digital Currencies,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,5 days,https://www.studyinnl.org//dutch-education/studies/economics-of-blockchain-and-digital-currencies-57644
18,Biomedical Sciences: Medical Biology,University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/biomedical-sciences-medical-biology-6818
19,Ancient Studies,University of Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/ancient-studies-14326
20,Drug Discovery Sciences,Vrije Universiteit Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/drug-discovery-sciences-1319
21,Language and Mind,Vrije Universiteit Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/language-and-mind-11040
22,Jewish studies,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/jewish-studies-10004
23,Finance: Honours Programme in Finance and Technology,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/finance-honours-programme-in-finance-and-technology-11289
24,Finance: Honours Programme in Finance and Technology,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/finance-honours-programme-in-finance-and-technology-9818
25,Commerce Economics & Entrepreneurship,Tio University of Applied Sciences,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/commerce-economics-entrepreneurship-1787
26,"Literary Studies: Literature, Culture and Society",University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/literary-studies-literature-culture-and-society-10000
27,Communication Science,Vrije Universiteit Amsterdam,Bachelor,Amsterdam,3 years,https://www.studyinnl.org//dutch-education/studies/communication-science-9523
28,Advanced LLM in Technology Governance,University of Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/advanced-llm-in-technology-governance-13819
29,Econometrics and Operations Research: Quantitative Economics,Vrije Universiteit Amsterdam,Master,Amsterdam,1 year,https://www.studyinnl.org//dutch-education/studies/econometrics-and-operations-research-quantitative-economics-9888
30,Introduction to International Anti-Money Laundering Law & Compliance,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,8 days,https://www.studyinnl.org//dutch-education/studies/introduction-to-international-anti-money-laundering-law-compliance-14102
31,Communication Science (research MSc),University of Amsterdam,Master,Amsterdam,2 years,https://www.studyinnl.org//dutch-education/studies/communication-science-research-msc-1109
32,Statistical Methods for Causal Inference,Vrije Universiteit Amsterdam,Short or summer course,Amsterdam,15 days,https://www.studyinnl.org//dutch-education/studies/statistical-methods-for-causal-inference-14104
