,text
0,"Vrije Universiteit Amsterdam offers a Bachelor program called 'Filosofie' in Amsterdam. The program lasts for 3 years. This program awards a degree titled 'Bachelor of Arts'. The language of instruction is English. The program duration is 3 years. It carries a total of 180 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: Cambridge Certificate in Advanced English (minimum score or level: B2); or IELTS overall band (minimum score or level: 6.5); or TOEFL paper based (minimum score or level: 580); or TOEFL computer based (minimum score or level: 237); or TOEFL internet based (minimum score or level: 92). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 13,920; Institutional students pay € 12,900. If you want to join the program starting in 1 Sep '25, the application deadline is 1 May '25 for EU/EEA applicants, and 1 Apr '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 1 May '26 for EU/EEA applicants, and 1 Apr '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 1 May '27 for EU/EEA applicants, and 1 Apr '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://vu.nl/en/education/bachelor/philosophy."
1,"University of Amsterdam offers a Short or summer course program called 'Placemaking: Sense, Space & Strategy' in Amsterdam. The program lasts for 19 days. Program Overview: This three-week programme will explore the web of relationships between people and place. Placemaking as a philosophy and practice concerns the improvement of urban spaces by including its users in the transition for change. Through a bottom-up planning process, it intends to give the right to the city back to its inhabitants. This innovative course borrows from human geography, experimental and environmental-psychology, history, and sociology, problematising the urban environments in which we live. Experiencing the city through the many different sensory lenses is at the heart of this programme. It presents exciting alternative ways to understand how people live in, respond to, and imagine their cities. As cities are densely populated, and as their diversity increases, sensitivity to stimuli (both positive and negative) is increasing too. This holds true for all sensory experiences like increased noise, overwhelming smells, and the experience of intense density. Urban spaces can be imagined as territories of negotiation. Sensory experiences often inspire a strong sense of belonging and might therefore play an important role in the co-creation of space.  Early admission deadline: 1 February 2025. Final admission deadline: 15 March 2025. Applications are processed throughout the year on a rolling basis. This program awards a degree titled '-'. The language of instruction is English. The program duration is 19 days. It carries a total of 6 ECTS credits. The program is accredited by Information not available. Tuition fees are as follows: EU/EEA students pay Information not available; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 20 Jul '25, the application deadline is 15 Mar '25 for EU/EEA applicants, and 15 Mar '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://summerschool.uva.nl/content/summer-courses/placemaking-sense-space-and-strategy/placemaking-sense-space--strategy.html?."
2,"Vrije Universiteit Amsterdam offers a Master program called 'Social Sciences for a Digital Society (research)' in Amsterdam. The program lasts for 2 years. Program Overview: How do news reports frame disaster response after tragic events? What role do social media play in political polarisation? How can analysing data help us find solutions? And what are the ethical concerns in mining data? These are big questions that require big answers. The two-year Social Sciences for a Digital Society Master’s programme identifies, investigates and develops solutions for broad social challenges, using qualitative and quantitative methods to analyse data, both big and small. Social Sciences for a Digital Society is a truly multi-disciplinary and multi-methodological approach to society’s most pressing challenges. And for that reason, it will appeal to students from a wide range of backgrounds. In this Master's programme, you will use computational social science to analyse the social issues of today and tomorrow. It covers different themes: diversity and inclusion, polarization, fake news, governance of algorithms and challenges in care and welfare. The research master Social Sciences for a Digital Society at Vrije Universiteit Amsterdam scores according to the Keuzegids Masters 2024 above average on the components 'content', 'teachers', 'testing' and 'atmosphere'. This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 2 years. It carries a total of Information not available credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: Cambridge Certificate in Advanced English (minimum score or level: C1); or IELTS overall band (minimum score or level: 7); or TOEFL paper based (minimum score or level: 100); or TOEFL computer based (minimum score or level: 100); or TOEFL internet based (minimum score or level: 100). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 24,150; Institutional students pay € 21,220. If you want to join the program starting in 1 Sep '25, the application deadline is 31 May '25 for EU/EEA applicants, and 1 Apr '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 31 May '26 for EU/EEA applicants, and 1 Apr '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 31 May '27 for EU/EEA applicants, and 1 Apr '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://vu.nl/en/education/master/social-sciences-for-a-digital-society."
3,"Vrije Universiteit Amsterdam offers a Master program called 'Finance: Climate and Sustainable Finance' in Amsterdam. The program lasts for 1 year. Program Overview: Are you ready to tackle the complexities of climate finance and drive positive change in the world? Do you want to master the art of navigating policy uncertainty and financial risk in the face of climate change? Are you passionate about harnessing the power of finance to build a sustainable and resilient future for generations to come? If you answered yes to any of these questions, then the master’s programme in Climate and Sustainable Finance is something for you. Whether one runs a small company, a large international company, a government or and NGO there is always need of a person who understands the company from the perspective of its finances. Next to that we are in times where climate change and climate risks are more and more affecting our daily lives. Therefore, society wants to see companies managed differently and asks company leaders to take these pressing issues into account. What makes our Climate and Sustainable Finance programme unique is that it is a collaboration between the Finance department and the Institute for Environmental Studies, one of the world's leading institutes in sustainability science. Students in this programme will, therefore, be taught by leading experts from the field of climate science as well as from leading experts in finance. This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 1 year. It carries a total of Information not available credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: Cambridge Certificate in Advanced English (minimum score or level: C1); or Cambridge Certificate of Proficiency in English (minimum score or level: C2); or IELTS overall band (minimum score or level: 6.5); or IELTS speaking (minimum score or level: 6); or TOEFL paper based (minimum score or level: 580); or TOEFL internet based (minimum score or level: 92). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 24,150; Institutional students pay € 21,220. If you want to join the program starting in 1 Sep '25, the application deadline is 31 May '25 for EU/EEA applicants, and 1 Apr '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 31 May '26 for EU/EEA applicants, and 1 Apr '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 31 May '27 for EU/EEA applicants, and 1 Apr '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://vu.nl/en/education/master/climate-and-sustainable-finance."
4,"University of Amsterdam offers a Master program called 'International and European Law: International Trade and Investment Law' in Amsterdam. The program lasts for 1 year. This program awards a degree titled 'Master of Laws'. The language of instruction is English. The program duration is 1 year. It carries a total of 60 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: Cambridge Certificate of Proficiency in English (minimum score or level: C1); or IELTS overall band (minimum score or level: 7); or IELTS listening (minimum score or level: 6); or IELTS reading (minimum score or level: 6); or IELTS writing (minimum score or level: 6); or IELTS speaking (minimum score or level: 6); or TOEFL paper based (minimum score or level: 600); or TOEFL internet based (minimum score or level: 100). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 22,500; Institutional students pay € 19,000. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Jun '25 for EU/EEA applicants, and 1 Mar '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: http://www.uva.nl/llm-international-trade-and-investment-law."
5,"University of Amsterdam offers a Master program called 'Digital Economic Geography (Human Geography)' in Amsterdam. The program lasts for 1 year. This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 1 year. It carries a total of Information not available credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: Cambridge Certificate in Advanced English (minimum score or level: C1); or IELTS overall band (minimum score or level: 7); or IELTS listening (minimum score or level: 6.5); or IELTS reading (minimum score or level: 6.5); or IELTS writing (minimum score or level: 6.5); or IELTS speaking (minimum score or level: 6.5); or TOEFL paper based (minimum score or level: 600); or TOEFL internet based (minimum score or level: 95). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay Information not available; Institutional students pay Information not available. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Mar '25 for EU/EEA applicants, and 15 Jan '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: http://www.uva.nl/msc-economic-geography."
6,"University of Amsterdam offers a Master program called 'Law and Finance' in Amsterdam. The program lasts for 1 year. This program awards a degree titled 'Master of Laws'. The language of instruction is English. The program duration is 1 year. It carries a total of Information not available credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 22,500; Institutional students pay € 19,000. If you want to join the program starting in 1 Sep '25, the application deadline is 15 Jan '25 for EU/EEA applicants, and 15 Jan '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Mar '25 for EU/EEA applicants, and 1 Mar '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Apr '25 for EU/EEA applicants, and 1 Apr '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Jun '25 for EU/EEA applicants, and 1 Jun '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: http://uva.nl/llm-law-finance."
7,"Vrije Universiteit Amsterdam offers a Bachelor program called 'History and International Studies' in Amsterdam. The program lasts for 3 years. Program Overview: Understand today's world by studying the past! History and International Studies at the Vrije Universiteit Amsterdam How has democracy become a global standard while other types of government are considered 'deviations'? How did decolonization influence the relationship between Europe and Asia? What are the historical origins of global inequality and climate change? History and International Studies is an excellent choice for students interested in the historical origins of our global society. The programme offers a combination of history courses, modern language units and research skills from the fields of global history and international relations. It is taught by a highly motivated staff, strongly committed to teaching excellence and the learning experience of their students. Courses discuss the history of Europe and the world from antiquity to the present. Students also choose electives, organized around different themes such as Politics & Economy; Migration & Ethnicity; Culture & Religion or Heritage & Memory. In addition, students can take courses in modern languages, learn about different approaches from the fields of international relations and global history and are trained in academic skills. In year 3, students can also study a semester abroad, take an internship or choose a minor. This program awards a degree titled 'Bachelor of Arts'. The language of instruction is English. The program duration is 3 years. It carries a total of 180 ECTS credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 13,920; Institutional students pay € 12,900. If you want to join the program starting in 1 Sep '25, the application deadline is 1 May '25 for EU/EEA applicants, and 1 Apr '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 1 May '26 for EU/EEA applicants, and 1 Apr '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 1 May '27 for EU/EEA applicants, and 1 Apr '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://vu.nl/en/education/bachelor/history-and-international-studies."
8,"University of Amsterdam offers a Master program called 'Physics and Astronomy: Advanced Matter and Energy Physics' in Amsterdam. The program lasts for 2 years. Program Overview: The two-year track Advanced Matter and Energy Physics in the Master's programme Physics and Astronomy, a joint degree with the Vrije Universiteit Amsterdam, is among the best experimental physics programmes in the world. It offers you challenging courses and research opportunities in hot topics in laboratories around the world and prepares you for an exciting career in research. Advanced Matter and Energy Physics will suit you, if you... Want to work in a leading research laboratory in the Netherlands or abroad – or work on a project in an industrial research setting. Enjoy working in a team while being the driving force and hands-on 'principle investigator' of your own experiments. Have a well-founded, Bachelor-level knowledge of quantum mechanics, statistical physics and electrodynamics (knowledge of condensed matter physics is an advantage). Like to get to the bottom of things, are not afraid of complexity and have a well-developed understanding of the art of doing (experimental) science. This program awards a degree titled 'Master of Science'. The language of instruction is English. The program duration is 2 years. It carries a total of 120 ECTS credits. The program is accredited by NVAO. To meet the English language requirement, applicants must achieve at least one of the following minimum scores: TOEFL internet based (minimum score or level: 92); or IELTS overall band (minimum score or level: 6.5); or Cambridge Certificate in Advanced English (minimum score or level: 180). Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 25,900; Institutional students pay € 23,500. If you want to join the program starting in 1 Sep '25, the application deadline is 1 Jul '25 for EU/EEA applicants, and 1 Feb '25 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://www.uva.nl/msc-amep."
9,"Vrije Universiteit Amsterdam offers a Bachelor program called 'Artificial Intelligence' in Amsterdam. The program lasts for 3 years. Program Overview: Artificial Intelligence (AI) has so many potential applications – in healthcare, banking, transport, entertainment and more. In this programme, you’ll learn not only about the technology behind AI, but also about its application in society. VU Amsterdam’s AI programme looks at real-world issues in society and applies technology to solve not just specific individual problems but whole classes of problems. If you’re interested in using technology to help people and change your world through the latest machine intelligence, join us. VU Amsterdam’s Artificial Intelligence programme is unique in that we offer two separate tracks that specialise in the two different sides of Artificial Intelligence. Whether you choose the Intelligent Systems track or the Socially Aware Computing track, you’ll get a thorough understanding of how AI applies in our world. So that means not just delving into the code that powers machine learning, but also looking at the psychology behind the ways we use AI and the social impact of technological solutions. VU Amsterdam’s research specialises in Humane AI or Hybrid AI: the premise being that the combination of human and machine intelligence is greater than the sum of its part. This is a truly interdisciplinary programme: information science meets social science. This program awards a degree titled 'Bachelor of Science'. The language of instruction is English. The program duration is 3 years. It carries a total of 180 ECTS credits. The program is accredited by NVAO. Tuition fees are as follows: EU/EEA students pay € 2,601; Non-EU/EEA students pay € 19,110; Institutional students pay € 18,090. If you want to join the program starting in 1 Sep '25, the application deadline is 1 May '25 for EU/EEA applicants, and 1 Apr '25 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '26, the application deadline is 1 May '26 for EU/EEA applicants, and 1 Apr '26 for non-EU/EEA applicants. If you want to join the program starting in 1 Sep '27, the application deadline is 1 May '27 for EU/EEA applicants, and 1 Apr '27 for non-EU/EEA applicants. For more information, please visit the program’s official website: https://vu.nl/en/education/bachelor/artificial-intelligence."
